epoch,global_step,phase,loss,accuracy,f1_macro,f1_weighted,precision,recall,learning_rate,wall_sec
1.9817,11900,train,1.505854,,,,,,0.00000754,2792.8
1.9900,11950,train,1.543201,,,,,,0.00000748,2803.1
1.9983,12000,train,1.435765,,,,,,0.00000742,2814.5
2.0000,12010,val,2.212965,0.682332,0.477121,0.665438,0.689406,0.682332,,2846.4
2.0067,12050,train,1.341765,,,,,,0.00000736,2858.0
2.0150,12100,train,1.377034,,,,,,0.00000730,2869.4
2.0233,12150,train,1.349615,,,,,,0.00000724,2879.9
2.0316,12200,train,1.287097,,,,,,0.00000717,2892.1
2.0400,12250,train,1.313750,,,,,,0.00000711,2902.6
2.0483,12300,train,1.284992,,,,,,0.00000705,2914.8
2.0566,12350,train,1.404308,,,,,,0.00000699,2926.2
2.0649,12400,train,1.276815,,,,,,0.00000693,2936.6
2.0733,12450,train,1.386307,,,,,,0.00000687,2948.9
2.0816,12500,train,1.349591,,,,,,0.00000680,2960.2
2.0899,12550,train,1.387493,,,,,,0.00000674,2970.7
2.0983,12600,train,1.244503,,,,,,0.00000668,2982.0
2.1066,12650,train,1.267894,,,,,,0.00000662,2993.3
2.1149,12700,train,1.348035,,,,,,0.00000656,3004.7
2.1232,12750,train,1.297787,,,,,,0.00000650,3016.9
2.1316,12800,train,1.282067,,,,,,0.00000643,3027.3
2.1399,12850,train,1.356113,,,,,,0.00000637,3039.6
2.1482,12900,train,1.334839,,,,,,0.00000631,3050.1
2.1565,12950,train,1.361389,,,,,,0.00000625,3061.4
2.1649,13000,train,1.355047,,,,,,0.00000619,3072.8
2.1732,13050,train,1.277796,,,,,,0.00000613,3085.1
2.1815,13100,train,1.348625,,,,,,0.00000606,3096.4
2.1898,13150,train,1.440238,,,,,,0.00000600,3106.9
2.1982,13200,train,1.356159,,,,,,0.00000594,3118.2
2.2065,13250,train,1.294396,,,,,,0.00000588,3129.6
2.2148,13300,train,1.301115,,,,,,0.00000582,3140.9
2.2231,13350,train,1.254564,,,,,,0.00000576,3153.2
2.2315,13400,train,1.311892,,,,,,0.00000569,3163.7
2.2398,13450,train,1.336016,,,,,,0.00000563,3175.9
2.2481,13500,train,1.338973,,,,,,0.00000557,3186.3
2.2565,13550,train,1.317475,,,,,,0.00000551,3197.7
2.2648,13600,train,1.290271,,,,,,0.00000545,3209.1
2.2731,13650,train,1.267241,,,,,,0.00000539,3220.4
2.2814,13700,train,1.303209,,,,,,0.00000532,3232.7
2.2898,13750,train,1.307920,,,,,,0.00000526,3244.1
2.2981,13800,train,1.280594,,,,,,0.00000520,3254.5
2.3064,13850,train,1.263629,,,,,,0.00000514,3266.8
2.3147,13900,train,1.373575,,,,,,0.00000508,3277.2
2.3231,13950,train,1.311071,,,,,,0.00000502,3288.6
2.3314,14000,train,1.233223,,,,,,0.00000495,3300.8
2.3397,14050,train,1.208700,,,,,,0.00000489,3312.2
2.3480,14100,train,1.246291,,,,,,0.00000483,3322.6
2.3564,14150,train,1.308352,,,,,,0.00000477,3334.0
2.3647,14200,train,1.277001,,,,,,0.00000471,3346.2
2.3730,14250,train,1.254296,,,,,,0.00000465,3356.6
2.3813,14300,train,1.299491,,,,,,0.00000458,3368.0
2.3897,14350,train,1.334937,,,,,,0.00000452,3380.3
2.3980,14400,train,1.274308,,,,,,0.00000446,3390.8
2.4063,14450,train,1.365862,,,,,,0.00000440,3403.0
2.4147,14500,train,1.340381,,,,,,0.00000434,3413.4
2.4230,14550,train,1.291629,,,,,,0.00000428,3424.8
2.4313,14600,train,1.283548,,,,,,0.00000421,3436.1
2.4396,14650,train,1.351691,,,,,,0.00000415,3447.5
2.4480,14700,train,1.332088,,,,,,0.00000409,3458.8
2.4563,14750,train,1.264129,,,,,,0.00000403,3471.0
2.4646,14800,train,1.260676,,,,,,0.00000397,3482.4
2.4729,14850,train,1.347272,,,,,,0.00000391,3492.9
2.4813,14900,train,1.320100,,,,,,0.00000384,3504.2
2.4896,14950,train,1.344004,,,,,,0.00000378,3515.5
2.4979,15000,train,1.306119,,,,,,0.00000372,3526.9
2.5062,15050,train,1.332559,,,,,,0.00000366,3538.3
2.5146,15100,train,1.339980,,,,,,0.00000360,3549.6
2.5229,15150,train,1.223296,,,,,,0.00000354,3561.0
2.5312,15200,train,1.255451,,,,,,0.00000347,3572.3
2.5396,15250,train,1.284762,,,,,,0.00000341,3584.6
2.5479,15300,train,1.314261,,,,,,0.00000335,3595.1
2.5562,15350,train,1.245954,,,,,,0.00000329,3606.4
2.5645,15400,train,1.231012,,,,,,0.00000323,3618.7
2.5729,15450,train,1.235115,,,,,,0.00000317,3629.1
2.5812,15500,train,1.275450,,,,,,0.00000310,3640.5
2.5895,15550,train,1.321025,,,,,,0.00000304,3652.7
2.5978,15600,train,1.236538,,,,,,0.00000298,3663.2
2.6062,15650,train,1.282206,,,,,,0.00000292,3675.4
2.6145,15700,train,1.289975,,,,,,0.00000286,3685.9
2.6228,15750,train,1.253615,,,,,,0.00000280,3698.1
2.6311,15800,train,1.234060,,,,,,0.00000273,3709.5
2.6395,15850,train,1.280690,,,,,,0.00000267,3720.8
2.6478,15900,train,1.220989,,,,,,0.00000261,3732.2
2.6561,15950,train,1.250526,,,,,,0.00000255,3742.6
2.6644,16000,train,1.282943,,,,,,0.00000249,3754.0
2.6728,16050,train,1.291937,,,,,,0.00000243,3765.4
2.6811,16100,train,1.298525,,,,,,0.00000236,3777.6
2.6894,16150,train,1.246988,,,,,,0.00000230,3788.1
2.6978,16200,train,1.233929,,,,,,0.00000224,3800.4
2.7061,16250,train,1.231972,,,,,,0.00000218,3810.8
2.7144,16300,train,1.199220,,,,,,0.00000212,3822.2
2.7227,16350,train,1.267262,,,,,,0.00000206,3833.5
2.7311,16400,train,1.193514,,,,,,0.00000199,3845.8
2.7394,16450,train,1.269417,,,,,,0.00000193,3857.2
2.7477,16500,train,1.315627,,,,,,0.00000187,3867.6
2.7560,16550,train,1.239822,,,,,,0.00000181,3879.9
2.7644,16600,train,1.254412,,,,,,0.00000175,3890.4
2.7727,16650,train,1.241267,,,,,,0.00000168,3901.7
2.7810,16700,train,1.247423,,,,,,0.00000162,3913.1
2.7893,16750,train,1.276188,,,,,,0.00000156,3925.4
2.7977,16800,train,1.242604,,,,,,0.00000150,3935.8
2.8060,16850,train,1.227012,,,,,,0.00000144,3948.1
2.8143,16900,train,1.234927,,,,,,0.00000138,3959.4
2.8226,16950,train,1.228728,,,,,,0.00000131,3970.8
2.8310,17000,train,1.235508,,,,,,0.00000125,3981.2
2.8393,17050,train,1.254232,,,,,,0.00000119,3992.6
2.8476,17100,train,1.194808,,,,,,0.00000113,4003.9
2.8560,17150,train,1.162827,,,,,,0.00000107,4016.2
2.8643,17200,train,1.261502,,,,,,0.00000101,4027.5
2.8726,17250,train,1.245926,,,,,,0.00000094,4037.9
2.8809,17300,train,1.242576,,,,,,0.00000088,4049.3
2.8893,17350,train,1.196841,,,,,,0.00000082,4060.7
2.8976,17400,train,1.305992,,,,,,0.00000076,4072.1
2.9059,17450,train,1.173722,,,,,,0.00000070,4083.4
2.9142,17500,train,1.210973,,,,,,0.00000064,4094.8
2.9226,17550,train,1.215419,,,,,,0.00000057,4106.1
2.9309,17600,train,1.281587,,,,,,0.00000051,4117.5
2.9392,17650,train,1.257844,,,,,,0.00000045,4128.9
2.9475,17700,train,1.226052,,,,,,0.00000039,4140.3
2.9559,17750,train,1.223862,,,,,,0.00000033,4151.6
2.9642,17800,train,1.272419,,,,,,0.00000027,4163.0
2.9725,17850,train,1.266659,,,,,,0.00000020,4174.3
2.9808,17900,train,1.283662,,,,,,0.00000014,4185.7
2.9892,17950,train,1.209718,,,,,,0.00000008,4197.0
2.9975,18000,train,1.217527,,,,,,0.00000002,4208.3
3.0000,18015,val,2.247848,0.684905,0.488371,0.671089,0.690158,0.684905,,4241.3
