epoch,step,global_step,phase,loss,perplexity,accuracy,precision,recall,f1_macro,f1_weighted,learning_rate,samples_per_sec,wall_time_sec
1.7500,13400,13400,train,2.450139,11.59,0.471309,,,,,0.00001330,0.0,12248.7
1.7566,13450,13450,train,2.441794,11.49,0.477705,,,,,0.00001295,0.0,12294.4
1.7631,13500,13500,train,2.446624,11.55,0.470688,,,,,0.00001261,0.0,12340.1
1.7696,13550,13550,train,2.452772,11.62,0.473993,,,,,0.00001226,0.0,12385.6
1.7762,13600,13600,train,2.448409,11.57,0.463536,,,,,0.00001191,0.0,12431.2
1.71.7827,13650,13650,train,2.443062,11.51,0.487572,,,,,0.00001157,0.0,12506.1.7892,13700,13700,train,2.446495,11.55,0.473141,,,,,0.00001122,0.0,12522.0
1.7957,13750,13750,train,2.447850,11.56,0.467324,,,,,0.00001087,0.0,12567.6
1.8023,13800,13800,train,2.431093,11.37,0.478472,,,,,0.00001052,0.0,12612.6
1.81.8088,13850,13850,train,2.440234,11.48,0.457951,,,,,0.00001018,0.0,12687.1.8153,13900,13900,train,2.430146,11.36,0.477248,,,,,0.00000983,0.0,12703.6
1.8219,13950,13950,train,2.434535,11.41,0.484243,,,,,0.00000948,0.0,12749.3
1.81.8284,14000,14000,train,2.426320,11.32,0.492330,,,,,0.00000913,0.0,12824.1.8349,14050,14050,train,2.444092,11.52,0.469256,,,,,0.00000879,0.0,12840.0
1.8415,14100,14100,train,2.437039,11.44,0.489191,,,,,0.00000844,0.0,12885.8
1.8480,14150,14150,train,2.435116,11.42,0.488541,,,,,0.00000809,0.0,12931.5
1.8545,14200,14200,train,2.435494,11.42,0.471554,,,,,0.00000775,0.0,12977.2
1.8610,14250,14250,train,2.428071,11.34,0.467039,,,,,0.00000740,0.0,13022.9
1.8676,14300,14300,train,2.435040,11.42,0.494657,,,,,0.00000705,0.0,13068.6
1.8741,14350,14350,train,2.428663,11.34,0.486035,,,,,0.00000670,0.0,13114.2
1.8806,14400,14400,train,2.421963,11.27,0.499095,,,,,0.00000636,0.0,13159.9
1.8872,14450,14450,train,2.434754,11.41,0.472233,,,,,0.00000601,0.0,13205.7
1.8937,14500,14500,train,2.427290,11.33,0.487500,,,,,0.00000566,0.0,13251.4
1.9002,14550,14550,train,2.429009,11.35,0.495658,,,,,0.00000531,0.0,13297.2
1.91.9068,14600,14600,train,2.443762,11.52,0.489895,,,,,0.00000497,0.0,13372.1.9133,14650,14650,train,2.424555,11.30,0.465283,,,,,0.00000462,0.0,13387.8
1.9198,14700,14700,train,2.432857,11.39,0.474203,,,,,0.00000427,0.0,13433.3
1.9263,14750,14750,train,2.416594,11.21,0.474974,,,,,0.00000392,0.0,13479.1
1.9329,14800,14800,train,2.431551,11.38,0.476576,,,,,0.00000358,0.0,13524.8
1.9394,14850,14850,train,2.424198,11.29,0.472845,,,,,0.00000323,0.0,13570.4
1.9459,14900,14900,train,2.421601,11.26,0.470380,,,,,0.00000288,0.0,13616.1
